,First_name,Last_name,Email,LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH,OFFICE_NUMBER,OFFICE_STREET,OFFICE_CITY,OFFICE_REGION,OFFICE_POSTCODE
14,Stewart,Greene,stewart.greene@directdebitsample.com,-77.6211218,43.1499505,150,Van Auker Street,Unit 3N,Rochester,Monroe,NY,,MONR357479,3b74b6e3af45afd4,1625,East Avenue,Rochester,NY,
15,Matt,Hudson,matt.hudson@directdebitsample.com,-77.4979298,42.9459479,200,Langpap Road,,Mendon,Monroe,NY,,MONR146218,eed452426e8c1e0d,76,Alverstone Way,Henrietta,NY,
16,Sue,Sanderson,sue.sanderson@directdebitsample.com,-78.2292011,43.230129,13819,Allen Road,,Albion,Orleans,NY,,ORLE007269,83c2463347ba1758,115,East Main Street,Victor,NY,
17,Nathan,Wright,nathan.wright@directdebitsample.com,-78.83151170000001,42.9326029,375,Leroy Avenue,,Buffalo,Erie,NY,,ERIE141840,e05000e2bc39c81c,304,Washington Avenue,Batavia,NY,
18,Ryan,Hudson,ryan.hudson@directdebitsample.com,-78.8304547,42.8497029,43,Pries Avenue,Apartment 1,Buffalo,Erie,NY,,ERIE427722,7429c49e3939621b,8,Pardee Avenue,Lancaster,NY,
19,Keith,Short,keith.short@directdebitsample.com,-78.8276853,42.7910463,70,Grafton Avenue,,Hamburg,Erie,NY,,ERIE037923,80fd73459f98e407,6363,Transit Road,Clarence,NY,
20,Alison,Hemmings,alison.hemmings@directdebitsample.com,-78.8946788,42.9186355,160,Auburn Avenue,Apartment 2,Buffalo,Erie,NY,,ERIE434156,fcdca9593108ac6d,12,Barbados Drive,Cheektowaga,NY,
21,Oliver,Lawrence,oliver.lawrence@directdebitsample.com,-78.8758492,42.920129100000004,605,Lafayette Avenue,,Buffalo,Erie,NY,,ERIE132537,5022b436e43f8057,271,Millicent Avenue,Buffalo,NY,
22,Colin,Buckland,colin.buckland@directdebitsample.com,-78.900036,42.9594209,316,Esser Avenue,,Buffalo,Erie,NY,,ERIE163174,1f37814241089271,100,Carl Street,Buffalo,NY,
23,Samantha,King,samantha.king@directdebitsample.com,-78.85981740000001,43.0314066,534,Chestnut Street,,North Tonawanda,Niagara,NY,,NIAG045347,43fe815f82302ce0,1284,Clinton Street,Buffalo,NY,
24,Donna,Mackay,donna.mackay@directdebitsample.com,-78.8378537,42.981521,1540,Parker Boulevard,,Tonawanda,Erie,NY,,ERIE084172,cef793a9c37cd953,333,Reserve Road,West Seneca,NY,
25,Bella,Terry,bella.terry@directdebitsample.com,-78.8393429,43.0487823,1465,David Drive,,North Tonawanda,Niagara,NY,,NIAG045813,7cf592aadbfa99fc,5546,Scranton Road,Hamburg,NY,
26,Julia,Buckland,julia.buckland@directdebitsample.com,-78.9751887,43.0742296,7718,Buffalo Avenue,,Niagara Falls,Niagara,NY,,NIAG086052,d6bf6df867fe5b7c,4809,Lake Shore Road,Hamburg,NY,
27,Mary,Burgess,mary.burgess@directdebitsample.com,-79.0330747,43.0958918,2411,Grand Avenue,,Niagara Falls,Niagara,NY,,NIAG110991,3127279986d5bbb7,784,Prospect Avenue,Buffalo,NY,
28,Phil,Lambert,phil.lambert@directdebitsample.com,-78.5991917,43.1515244,7741,Lincoln Avenue Extension,,Royalton,Niagara,NY,,NIAG029011,48cbcd0e7295c6cf,193,West Utica Street,Buffalo,NY,
29,Richard,Jones,richard.jones@directdebitsample.com,-76.22547829999999,43.456307,93,Lincoln Avenue,Apartment A,Mexico,Oswego,NY,,OSWE057620,a13d53f47005a822,710,Potomac Avenue,Buffalo,NY,
30,Anna,Watson,anna.watson@directdebitsample.com,-76.1501172,43.3740364,5,Skylane Drive,,Hastings,Oswego,NY,,OSWE016914,3c5cb9be24361961,119,Newfield Street,Buffalo,NY,
31,Richard,Ferguson,richard.ferguson@directdebitsample.com,-75.66262979999999,43.0842322,461,Sayles Street,,Oneida,Madison,NY,,MADI006141,ce7bb68426bac52c,29,Coolbrook Court,Amherst,NY,
32,Fiona,Simpson,fiona.simpson@directdebitsample.com,-75.64912,43.09121210000001,309,Main Street,Apartment 3,Oneida,Madison,NY,,MADI034598,febde229c1cbd1cc,1378,Master Street,North Tonawanda,NY,
33,Tracey,Lyman,tracey.lyman@directdebitsample.com,-75.2107676,43.079039,1740,Armory Drive,Apartment D,Utica,Oneida,NY,,ONEI105562,dbd6bc7226ddb333,218,59th Street,Niagara Falls,NY,
34,Mary,Mackay,mary.mackay@directdebitsample.com,-75.175321,43.396685299999994,9210,Brown Tract Road,,Remsen,Oneida,NY,,ONEI033247,76e04bda21dbea86,2726,Ferry Avenue,Niagara Falls,NY,
35,Leonard,Peake,leonard.peake@directdebitsample.com,-74.8543718,43.806988200000006,167,Darts Lake Road,,Webb,Herkimer,NY,,HERK023595,b7cdf09d3b9fb0b5,372,Brampton Road,Porter,NY,
36,Angela,Clark,angela.clark@directdebitsample.com,-73.3655505,44.971968200000006,419,Route 9B,,Champlain,Clinton,NY,,CLIN034242,7ff8c96f579765f0,5477,Irish Road,Pendleton,NY,
37,Christopher,Greene,christopher.greene@directdebitsample.com,-73.7864439,43.0740444,11,Whitney Place,,Saratoga Springs,Saratoga,NY,,SARA050593,506f6a70e7da0788,261,Beattie Avenue,Lockport,NY,
38,Dan,King,dan.king@directdebitsample.com,-73.7200302,42.878926799999995,3,Bedford Circle,,Halfmoon,Saratoga,NY,,SARA077722,da6538b15aa7da56,501,Gouverneur Street,Morristown,NY,
39,Ava,Bower,ava.bower@directdebitsample.com,-73.8183035,42.5666453,212,Jericho Road,,Bethlehem,Albany,NY,,ALBA104136,49b55d3add70c678,5900,Airport Road,Whitestown,NY,
40,Gabrielle,Mathis,gabrielle.mathis@directdebitsample.com,-73.81655359999999,42.4749674,33,Western Avenue,Apartment 3,Coeymans,Albany,NY,,ALBA126332,066e986933e3aaaf,1323,Floyd Avenue,Rome,NY,
41,Jasmine,Russell,jasmine.russell@directdebitsample.com,-73.8914608,41.789371,14,Hill And Hollow Road,,Hyde Park,Dutchess,NY,,DUTC075145,52587ec63c8271ab,170,Dakota Road,Webb,NY,
42,Christian,Blake,christian.blake@directdebitsample.com,-73.90812340000001,41.7726476,17,Alexander Drive,Apartment 13,Hyde Park,Dutchess,NY,,DUTC119611,cb386ad0581bfc02,39,Main Street,Harrietstown,NY,
43,Victor,Ellison,victor.ellison@directdebitsample.com,-73.84176490000002,41.7216411,64,Rochdale Road,,Poughkeepsie,Dutchess,NY,,DUTC101823,53bcf131f55040b6,124,Mason Street,Schuyler Falls,NY,
44,Boris,McLean,boris.mclean@directdebitsample.com,-73.590378,41.8435084,4788,Route 44,,Amenia,Dutchess,NY,,DUTC087152,bc2d78f31506a0bb,51,Lehland Drive,Queensbury,NY,
45,Virginia,Newman,virginia.newman@directdebitsample.com,-72.93507120000001,40.9559676,70,Locust Drive,,Brookhaven,Suffolk,NY,,SUFF247901,ff5b1b61117eb252,12,Jean Place,Guilderland,NY,
46,Paul,Hughes,paul.hughes@directdebitsample.com,-72.5164329,40.9829348,412,Park Avenue,,Southold,Suffolk,NY,,SUFF150668,a04d861f77f48234,30,Delafield Drive,Colonie,NY,
47,Ruth,Smith,ruth.smith@directdebitsample.com,-72.35085009999999,40.9943309,20,Harrys Lane,,Southampton,Suffolk,NY,,SUFF343454,f0b22e15a445ab8c,13,Hampton Court,Clinton,NY,
48,Elizabeth,Lee,elizabeth.lee@directdebitsample.com,-73.2728858,40.6450802,16,Captree Island,,Babylon,Suffolk,NY,,SUFF327816,a8103982b80c8afe,15,Rhobella Drive,Poughkeepsie,NY,
49,Lucas,Paterson,lucas.paterson@directdebitsample.com,-73.0495949,40.749855,51,Barrett Avenue,,Islip,Suffolk,NY,,SUFF117509,d29a5e410a3fe5ea,81,Gulf Street,Babylon,NY,
50,Dominic,Grant,dominic.grant@directdebitsample.com,-73.1994727,40.7931399,71,Dietz Street,,Islip,Suffolk,NY,,SUFF430194,77c848ec056cd7dc,33,West Masem Square,Brookhaven,NY,
51,Justin,Murray,justin.murray@directdebitsample.com,-73.0269278,40.848529299999996,18,Ridgewood Avenue,,Brookhaven,Suffolk,NY,,SUFF137538,5cbbce850f214392,580,Barton Avenue,Brookhaven,NY,
52,Lauren,Morrison,lauren.morrison@directdebitsample.com,-73.0771705,40.89431679999999,5,Millbury Lane,,Brookhaven,Suffolk,NY,,SUFF179326,1fcc589ed22ea6e2,16,10th Street,Brookhaven,NY,
53,Anthony,Mathis,anthony.mathis@directdebitsample.com,-73.3631819,40.8873492,10,Bull Calf Lane,,Huntington,Suffolk,NY,,SUFF235473,f367f3739524ab6a,11,Eagle Lane,Smithtown,NY,
54,Lily,Gill,lily.gill@directdebitsample.com,-73.36992420000001,40.7467863,64,South 27th Street,,Babylon,Suffolk,NY,,SUFF376619,34be918a8756fcc3,1645,North Gardiner Drive,Islip,NY,
55,Nicholas,Hill,nicholas.hill@directdebitsample.com,-73.74390749999999,40.7277414,89- 34,219 Street,,New York,Queens,NY,,QUEE086222,cb7abd98c33b7346,232,Newman Street,Islip,NY,
56,Gabrielle,Ball,gabrielle.ball@directdebitsample.com,-73.7736704,40.7502054,50- 51,205 Street,,New York,Queens,NY,,QUEE115291,db7a9b8422144bdd,18,Windsor Street,Islip,NY,
57,Anthony,King,anthony.king@directdebitsample.com,-73.8627913,40.756239,105- 15,34 Avenue,,New York,Queens,NY,,QUEE273404,bcfbc339ea03b5ee,49,Freeman Avenue,Islip,NY,
58,Lucas,Blake,lucas.blake@directdebitsample.com,-73.8255572,40.786842799999995,13- 44,143 Place,,New York,Queens,NY,,QUEE168093,7bac6795eacc4c98,1465,Lincoln Boulevard,Islip,NY,
59,Samantha,Marshall,samantha.marshall@directdebitsample.com,-73.82286490000001,40.7724876,144- 47,29 Avenue,,New York,Queens,NY,,QUEE266012,05694b2d249f791f,137,Cayuga Avenue,Babylon,NY,
60,Anne,McLean,anne.mclean@directdebitsample.com,-73.8987805,40.817257700000006,756,Kelly Street,,New York,Bronx,NY,,BRON075903,14bcec1459bb6346,5,Walnut Place,Huntington,NY,
61,Christian,Harris,christian.harris@directdebitsample.com,-73.913177,40.805780299999995,680,East 139 Street,,New York,Bronx,NY,,BRON059426,132fc9f98f8bf485,211,East 233 Street,New York,NY,
62,Cameron,Short,cameron.short@directdebitsample.com,-73.9509061,40.786379700000005,140,East 97 Street,,New York,New York,NY,,NEWY057069,b603a12daf971de1,51- 18,Redfield Street,New York,NY,
63,Dylan,Wilson,dylan.wilson@directdebitsample.com,-73.9699928,40.7539979,245,East 48 Street,,New York,New York,NY,,NEWY008087,2479e7a52be6d74b,37- 58,108 Street,New York,NY,
64,Luke,Rees,luke.rees@directdebitsample.com,-74.1414172,40.594964000000004,24,Norwich Street,,New York,Richmond,NY,,RICH049472,547eb3b07abdd6b0,149- 62,21 Avenue,New York,NY,
65,Rose,Fisher,rose.fisher@directdebitsample.com,-73.98894849999999,40.5913652,197,Bay 43 Street,,New York,Kings,NY,,KING165199,a873cb42349a29b9,1705,Holland Avenue,New York,NY,
66,Blake,Grant,blake.grant@directdebitsample.com,-73.9846103,40.5918935,2270,Stillwell Avenue,,New York,Kings,NY,,KING030130,2139ae6a1990b263,2465,Belmont Avenue,New York,NY,
67,Jake,Underwood,jake.underwood@directdebitsample.com,-74.1058365,40.6134631,69,Labau Avenue,,New York,Richmond,NY,,RICH046404,0fcffbfd4ae4cf0b,1963,Adam C Powell Boulevard,New York,NY,
68,Yvonne,MacLeod,yvonne.macleod@directdebitsample.com,-73.99885400000001,40.682610100000005,205,President Street,,New York,Kings,NY,,KING043636,9c15d8e9e7b498c4,536,East 89 Street,New York,NY,
69,Amy,Vance,amy.vance@directdebitsample.com,-73.9452536,40.6814461,142,Macon Street,,New York,Kings,NY,,KING104711,b56bd22de633deb5,20- 64,46 Street,New York,NY,
70,Nicholas,Knox,nicholas.knox@directdebitsample.com,-73.9718775,40.6923148,176,Adelphi Street,,New York,Kings,NY,,KING071507,02a2e4101faf23fd,32- 14,86 Street,New York,NY,
71,Sonia,Burgess,sonia.burgess@directdebitsample.com,-73.7767142,40.6898132,115- 11,172 Street,,New York,Queens,NY,,QUEE126784,e7deea6ca88f03e1,61,Tanglewood Drive,New York,NY,
72,Gordon,Parr,gordon.parr@directdebitsample.com,-73.8027142,40.687769200000005,143- 3,Ferndale Avenue,,New York,Queens,NY,,QUEE182086,6eaacc6f0b2fe1bb,2454,Mc Donald Avenue,New York,NY,
73,Lillian,Ogden,lillian.ogden@directdebitsample.com,-75.27086609999999,42.147177500000005,2171,Chamberlain Brook Road,,Tompkins,Delaware,NY,,DELA007251,998f8704dc0f8a13,1762,East 5 Street,New York,NY,
74,David,Gill,david.gill@directdebitsample.com,-76.1228658,42.0593902,13,Griffin Drive,,Owego,Tioga,NY,,TIOG007798,8ebbdeab346f684e,24,91 Street,New York,NY,
75,Sally,Lawrence,sally.lawrence@directdebitsample.com,-77.1961386,43.2271061,6272,Stillmeadow Way,,Williamson,Wayne,NY,,WAYN025621,b2168a2c3c81819a,7315,5 Avenue,New York,NY,
76,Isaac,Tucker,isaac.tucker@directdebitsample.com,-77.0126241,43.2142093,5871,South Geneva Road,,Sodus,Wayne,NY,,WAYN024742,a4d61822f3be118b,4157,Bedford Avenue,New York,NY,
77,Tim,Hunter,tim.hunter@directdebitsample.com,-76.8739011,43.155023,4128,Dix Street,,Rose,Wayne,NY,,WAYN031148,1598ecd33dd46b09,150- 40,118 Avenue,New York,NY,
78,Steven,Reid,steven.reid@directdebitsample.com,-76.1359423,43.160499,8052,Lucas Drive,Unit A,Clay,Onondaga,NY,,ONON188492,553fa6cdf61598ba,114- 19,121 Street,New York,NY,
79,Christian,Oliver,christian.oliver@directdebitsample.com,-76.2355507,43.1261461,116,Knowland Drive,,Salina,Onondaga,NY,,ONON177173,09180f1cfb494927,136- 1,221 Street,New York,NY,
80,Lisa,Walker,lisa.walker@directdebitsample.com,-75.9904964,43.0057757,4855,Candy Lane,,Manlius,Onondaga,NY,,ONON107981,b6a77a37eb17dcea,34,Hubbard Road,Delaware,NY,
81,Liam,Burgess,liam.burgess@directdebitsample.com,-76.1092079,42.800656700000005,39,Warren Street,,Tully,Onondaga,NY,,ONON067197,ecc6071608166654,7442,State Fair Boulevard,Van Buren,NY,
82,Pippa,Graham,pippa.graham@directdebitsample.com,-76.1285824,43.003184999999995,140,Intrepid Lane,,Syracuse,Onondaga,NY,,ONON095285,df5980330bf12113,9505,Glengarriff Drive,Cicero,NY,
83,John,Coleman,john.coleman@directdebitsample.com,-76.916556,42.578849,3862,Castle Point Road,,Starkey,Yates,NY,,YATE006042,1ce223ca621e8c10,4314,Cinnamon Path,Clay,NY,
84,Brandon,Welch,brandon.welch@directdebitsample.com,-79.2320388,42.08836289999999,361,Foote Avenue,,Jamestown,Chautauqua,NY,,CHAU045175,90cc159839492d74,1301,Burnet Avenue,Syracuse,NY,
85,Chloe,Kerr,chloe.kerr@directdebitsample.com,-79.2864434,42.0999289,63,West 4th Street,,Ellicott,Chautauqua,NY,,CHAU017779,61629806aaf4ad9d,819,Woods Road,Geddes,NY,
86,Dorothy,Bond,dorothy.bond@directdebitsample.com,-73.65970870000001,42.709919799999994,52,Excelsior Avenue,,Troy,Rensselaer,NY,,RENS052542,1e893f6bddb067da,199,West Lake Road,Chautauqua,NY,
87,Andrea,Marshall,andrea.marshall@directdebitsample.com,-73.9254188,42.893232,13,Woodside Drive,,Glenville,Schenectady,NY,,SCHE047479,8e811e46a10563ec,513,Washington Avenue,Dunkirk,NY,
88,Neil,Glover,neil.glover@directdebitsample.com,-74.8199084,42.8098176,267,Briar Hill Road,,Springfield,Otsego,NY,,OTSE005775,e4c4c41b4f1fb619,79,Congress Street,Troy,NY,
89,Ryan,Lawrence,ryan.lawrence@directdebitsample.com,-73.98483900000001,41.9186549,26,West Union Street,,Kingston,Ulster,NY,,ULST066466,eba8d7137b8908bf,129,Eddys Lane,Troy,NY,
90,Sue,Blake,sue.blake@directdebitsample.com,-77.5732841,43.09140479999999,728,Surrey Hill Way,,Henrietta,Monroe,NY,,MONR119667,36b1e56c1c160a4b,244,Forrest Drive,Esopus,NY,
91,Rose,Reid,rose.reid@directdebitsample.com,-73.99093020000001,41.840872,202,Poppletown Road,,Esopus,Ulster,NY,,ULST021727,aa98366d9460b0fb,13,Judd Lane,Parma,NY,
92,Una,Gibson,una.gibson@directdebitsample.com,-77.62949040000001,43.1969924,38,Kodacolor Circle,,Rochester,Monroe,NY,,MONR013273,5fbb80c6a3887f87,2205,Route 32,Saugerties,NY,
93,Sally,Vance,sally.vance@directdebitsample.com,-78.8907573,42.1043583,172,North Loop Road,,Cold Spring,Cattaraugus,NY,,CATT042706,7cabd2e996045a22,616,Broadway,Kingston,NY,
94,Phil,Walker,phil.walker@directdebitsample.com,-74.4991318,41.4002332,31,Lone Indian Trail,,Wawayanda,Orange,NY,,ORAN020307,12ae23fa13435cc2,362,Dowe Road,Wawarsing,NY,
95,Molly,Clark,molly.clark@directdebitsample.com,-74.03013100000001,41.529093100000004,72,Chestnut Lane,,Newburgh,Orange,NY,,ORAN076080,63f94a62c1fb8fa1,6,South Prospect Street,Kingston,NY,
96,Nathan,MacLeod,nathan.macleod@directdebitsample.com,-74.0397521,41.4584607,350,Butternut Drive,,New Windsor,Orange,NY,,ORAN080470,1800b20b952f7a68,957,Turnpike Road,Columbus,NY,
97,Kimberly,Langdon,kimberly.langdon@directdebitsample.com,-74.1733733,41.351836,2,Radomsk Way,Unit 412,Monroe,Orange,NY,,ORAN137991,ddc7983ba9e24750,3,Royce Avenue,Middletown,NY,
98,Angela,Harris,angela.harris@directdebitsample.com,-74.1500967,41.3054795,5,Summit Avenue,,Monroe,Orange,NY,,ORAN004146,4930b4066f6def08,52,Hudson Drive,New Windsor,NY,
99,Carol,Fisher,carol.fisher@directdebitsample.com,-74.12506359999999,41.361051200000006,2,Shetland Circle,,Woodbury,Orange,NY,,ORAN114878,08a4ef77d2dc9ca8,4,Howland Street,Chester,NY,
